date,new_permits_thousands,units_not_started_thousands,units_started_thousands,units_under_construction_thousands,units_constructed_thousands
1990-01-01,1246.0,,1289.0,885.0,1345.0
1990-04-01,1108.0,,1177.0,846.0,1263.0
1990-07-01,976.0,,1110.0,793.0,1312.0
1990-10-01,861.0,,969.0,745.0,1173.0
1991-01-01,911.0,,921.0,678.0,1176.0
1991-04-01,964.0,,1036.0,654.0,1093.0
1991-07-01,974.0,,1015.0,633.0,1216.0
1991-10-01,1061.0,,1079.0,633.0,1002.0
1992-01-01,1082.0,,1297.0,656.0,1128.0
1992-04-01,1057.0,,1145.0,644.0,1189.0
1992-07-01,1114.0,,1186.0,638.0,1123.0
1992-10-01,1176.0,,1227.0,638.0,1199.0
1993-01-01,1056.0,,1083.0,633.0,1105.0
1993-04-01,1130.0,,1280.0,654.0,1193.0
1993-07-01,1251.0,,1343.0,677.0,1172.0
1993-10-01,1461.0,,1533.0,703.0,1289.0
1994-01-01,1342.0,,1564.0,732.0,1257.0
1994-04-01,1357.0,,1409.0,757.0,1336.0
1994-07-01,1412.0,,1474.0,774.0,1414.0
1994-10-01,1396.0,,1455.0,784.0,1386.0
1995-01-01,1226.0,,1249.0,771.0,1413.0
1995-04-01,1305.0,,1281.0,759.0,1242.0
1995-07-01,1421.0,,1369.0,780.0,1279.0
1995-10-01,1442.0,,1431.0,799.0,1200.0
1996-01-01,1437.0,,1424.0,814.0,1369.0
1996-04-01,1429.0,,1467.0,826.0,1437.0
1996-07-01,1392.0,,1475.0,824.0,1379.0
1996-10-01,1411.0,,1370.0,814.0,1487.0
1997-01-01,1436.0,,1457.0,808.0,1445.0
1997-04-01,1402.0,,1494.0,826.0,1315.0
1997-07-01,1494.0,,1546.0,846.0,1442.0
1997-10-01,1456.0,,1566.0,872.0,1428.0
1998-01-01,1605.0,,1567.0,905.0,1477.0
1998-04-01,1551.0,,1641.0,927.0,1467.0
1998-07-01,1577.0,,1582.0,952.0,1452.0
1998-10-01,1742.0,,1792.0,1003.0,1433.0
1999-01-01,1665.0,134.0,1710.0,994.0,1673.0
1999-04-01,1702.0,149.0,1559.0,981.0,1648.0
1999-07-01,1551.0,143.0,1635.0,983.0,1643.0
1999-10-01,1683.0,140.0,1708.0,983.0,1659.0
2000-01-01,1651.0,141.0,1604.0,988.0,1704.0
2000-04-01,1572.0,137.0,1559.0,982.0,1530.0
2000-07-01,1570.0,135.0,1507.0,970.0,1528.0
