date,ten_y_2020,twenty_y_2020,thirty_y_2020
2020-01-02,1.88,2.19,2.33
2020-01-03,1.8,2.11,2.26
2020-01-06,1.81,2.13,2.28
2020-01-07,1.83,2.16,2.31
2020-01-08,1.87,2.21,2.35
2020-01-09,1.85,2.17,2.38
2020-01-10,1.83,2.14,2.28
2020-01-13,1.85,2.16,2.3
2020-01-14,1.82,2.12,2.27
2020-01-15,1.79,2.09,2.23
2020-01-16,1.81,2.11,2.26
2020-01-17,1.84,2.16,2.29
2020-01-21,1.78,2.1,2.23
2020-01-22,1.77,2.07,2.22
2020-01-23,1.74,2.03,2.18
2020-01-24,1.7,2.0,2.14
2020-01-27,1.61,1.91,2.05
2020-01-28,1.65,1.95,2.1
2020-01-29,1.6,1.89,2.05
2020-01-30,1.57,1.88,2.04
2020-01-31,1.51,1.83,1.99
2020-02-03,1.54,1.84,2.01
2020-02-04,1.61,1.91,2.08
2020-02-05,1.66,1.97,2.14
2020-02-06,1.65,1.94,2.11
2020-02-07,1.59,1.89,2.05
2020-02-10,1.56,1.87,2.03
2020-02-11,1.59,1.89,2.05
2020-02-12,1.62,1.93,2.09
2020-02-13,1.61,1.91,2.07
2020-02-14,1.59,1.89,2.04
2020-02-18,1.55,1.85,2.0
2020-02-19,1.56,1.86,2.01
2020-02-20,1.52,1.81,1.97
2020-02-21,1.46,1.75,1.9
2020-02-24,1.38,1.68,1.84
2020-02-25,1.33,1.63,1.8
2020-02-26,1.33,1.64,1.81
2020-02-27,1.3,1.61,1.79
2020-02-28,1.13,1.46,1.65
2020-03-02,1.1,1.46,1.66
2020-03-03,1.02,1.44,1.64
2020-03-04,1.02,1.45,1.67
2020-03-05,0.92,1.34,1.56
2020-03-06,0.74,1.09,1.25
2020-03-09,0.54,0.87,0.99
2020-03-10,0.76,1.16,1.28
2020-03-11,0.82,1.13,1.3
2020-03-12,0.88,1.27,1.49
2020-03-13,0.94,1.31,1.56
2020-03-16,0.73,1.1,1.34
2020-03-17,1.02,1.45,1.63
2020-03-18,1.18,1.6,1.77
2020-03-19,1.12,1.56,1.78
2020-03-20,0.92,1.35,1.55
2020-03-23,0.76,1.12,1.33
2020-03-24,0.84,1.19,1.39
2020-03-25,0.88,1.23,1.45
2020-03-26,0.83,1.2,1.42
2020-03-27,0.72,1.09,1.29
2020-03-30,0.7,1.1,1.31
2020-03-31,0.7,1.15,1.35
2020-04-01,0.62,1.04,1.27
2020-04-02,0.63,1.04,1.26
2020-04-03,0.62,1.05,1.24
2020-04-06,0.67,1.08,1.27
2020-04-07,0.75,1.13,1.32
2020-04-08,0.77,1.18,1.37
2020-04-09,0.73,1.15,1.35
2020-04-13,0.76,1.19,1.39
2020-04-14,0.76,1.19,1.41
2020-04-15,0.63,1.06,1.27
2020-04-16,0.61,1.01,1.21
2020-04-17,0.65,1.08,1.27
2020-04-20,0.63,1.04,1.23
2020-04-21,0.58,0.98,1.17
2020-04-22,0.63,1.03,1.22
2020-04-23,0.61,0.99,1.18
2020-04-24,0.6,0.98,1.17
2020-04-27,0.67,1.06,1.25
2020-04-28,0.62,1.0,1.2
2020-04-29,0.63,1.02,1.24
2020-04-30,0.64,1.05,1.28
2020-05-01,0.64,1.04,1.27
2020-05-04,0.64,1.05,1.29
2020-05-05,0.66,1.07,1.32
2020-05-06,0.72,1.16,1.41
2020-05-07,0.63,1.05,1.31
2020-05-08,0.69,1.12,1.39
2020-05-11,0.73,1.16,1.43
2020-05-12,0.69,1.11,1.38
2020-05-13,0.64,1.07,1.35
2020-05-14,0.63,1.03,1.3
2020-05-15,0.64,1.05,1.32
2020-05-18,0.73,1.17,1.44
2020-05-19,0.7,1.15,1.43
2020-05-20,0.68,1.19,1.4
2020-05-21,0.68,1.16,1.4
2020-05-22,0.66,1.12,1.37
2020-05-26,0.69,1.19,1.43
2020-05-27,0.68,1.19,1.44
2020-05-28,0.7,1.23,1.47
2020-05-29,0.65,1.18,1.41
2020-06-01,0.66,1.22,1.46
2020-06-02,0.68,1.24,1.48
2020-06-03,0.77,1.32,1.56
2020-06-04,0.82,1.38,1.61
2020-06-05,0.91,1.46,1.68
2020-06-08,0.88,1.43,1.65
2020-06-09,0.84,1.37,1.59
2020-06-10,0.75,1.31,1.53
2020-06-11,0.66,1.19,1.41
2020-06-12,0.71,1.24,1.45
2020-06-15,0.71,1.24,1.45
2020-06-16,0.75,1.31,1.54
2020-06-17,0.74,1.3,1.52
2020-06-18,0.71,1.24,1.47
2020-06-19,0.7,1.23,1.47
2020-06-22,0.71,1.23,1.46
2020-06-23,0.72,1.25,1.49
2020-06-24,0.69,1.21,1.44
2020-06-25,0.68,1.2,1.43
2020-06-26,0.64,1.15,1.37
2020-06-29,0.64,1.16,1.39
2020-06-30,0.66,1.18,1.41
2020-07-01,0.69,1.2,1.43
2020-07-02,0.68,1.2,1.43
2020-07-06,0.69,1.21,1.45
2020-07-07,0.65,1.15,1.38
2020-07-08,0.67,1.16,1.39
2020-07-09,0.62,1.09,1.32
2020-07-10,0.65,1.12,1.33
2020-07-13,0.64,1.11,1.33
2020-07-14,0.63,1.09,1.3
2020-07-15,0.64,1.11,1.33
2020-07-16,0.62,1.09,1.31
2020-07-17,0.64,1.11,1.33
2020-07-20,0.62,1.1,1.32
2020-07-21,0.61,1.09,1.31
