,date,interest_rate,units_authorized_started,homeownership_rate,lumber_price_index,house_supply,new_housing_permits,steel_price_index,under_construction,units_completed,y_actual_output,predicted,error
0,1990-04-01,10.32,1212,63.9,56.64,8.0,1104,117.47,859,1315,126800.0,111076.47499110736,-15723.52500889264
1,1990-07-01,10.1,1132,63.9,54.72,8.0,1041,117.87,812,1305,117000.0,113162.18704750767,-3837.812952492328
2,1990-10-01,9.96,1043,64.0,51.38,8.0,909,117.07,756,1234,121500.0,113164.4272743478,-8335.572725652193
3,1991-01-01,9.5,895,64.0,51.48,8.0,850,116.47,701,1138,120000.0,111736.79826780822,-8263.201732191781
4,1991-04-01,9.52,1011,64.1,56.66,7.0,957,114.47,662,1085,119900.0,121446.60256026807,1546.6025602680747
5,1991-07-01,9.27,1042,64.1,57.52,7.0,964,113.03,645,1114,120000.0,111842.88807500323,-8157.111924996774
6,1991-10-01,8.69,1087,64.1,55.95,6.0,1012,112.33,633,1030,120000.0,109110.46722120728,-10889.532778792724
7,1992-01-01,8.69,1241,64.1,63.74,5.0,1102,112.37,642,1096,119500.0,122403.39728822076,2903.39728822076
8,1992-04-01,8.68,1153,64.1,67.32,6.0,1056,111.97,648,1153,120000.0,117708.5331983649,-2291.466801635106
9,1992-07-01,8.02,1184,64.1,64.19,5.0,1093,111.2,634,1171,120000.0,117021.20729582937,-2978.792704170628
10,1992-10-01,8.19,1228,64.3,66.69,5.0,1142,110.33,641,1187,126000.0,129063.16804569424,3063.1680456942413
11,1993-01-01,7.72,1168,63.9,84.53,5.0,1127,112.8,636,1159,125000.0,123093.99121484417,-1906.0087851558346
12,1993-04-01,7.45,1266,64.0,87.88,5.0,1115,114.43,646,1173,127000.0,137135.06026111514,10135.06026111514
13,1993-07-01,7.09,1299,64.0,80.14,5.0,1218,116.83,668,1175,127000.0,136740.1985318163,9740.198531816306
14,1993-10-01,7.05,1434,64.1,87.76,5.0,1368,119.9,695,1257,127000.0,146131.90087791433,19131.900877914333
15,1994-01-01,7.3,1391,64.0,93.54,5.0,1334,121.7,719,1279,130000.0,141024.60725404305,11024.607254043047
16,1994-04-01,8.43,1467,63.9,87.0,6.0,1382,120.27,749,1380,130000.0,144802.32331182377,14802.32331182377
17,1994-07-01,8.59,1454,63.9,85.13,6.0,1375,121.93,770,1348,129700.0,116427.62068611168,-13272.37931388832
18,1994-10-01,9.11,1472,64.1,83.57,6.0,1378,123.97,781,1376,132000.0,120476.84583945828,-11523.154160541715
19,1995-01-01,8.79,1324,64.4,81.97,7.0,1254,128.23,782,1377,130000.0,111545.5673930613,-18454.432606938703
20,1995-04-01,7.92,1287,64.7,78.27,6.0,1278,129.8,759,1303,133900.0,121674.76706377196,-12225.232936228043
21,1995-07-01,7.7,1415,64.8,78.64,6.0,1387,129.9,772,1299,132000.0,142951.97441531933,10951.974415319331
22,1995-10-01,7.34,1417,65.1,75.82,6.0,1424,127.3,789,1298,138000.0,140422.1024232502,2422.1024232502095
23,1996-01-01,7.27,1461,65.3,75.58,6.0,1415,126.33,803,1363,137000.0,148572.06500481337,11572.065004813368
24,1996-04-01,8.1,1496,65.4,83.37,6.0,1450,126.13,828,1396,139900.0,146701.00730725646,6801.0073072564555
25,1996-07-01,8.15,1501,65.4,87.0,5.0,1418,126.13,823,1433,140000.0,133513.0125639569,-6486.987436043099
26,1996-10-01,7.7,1417,65.4,88.23,5.0,1394,124.67,821,1431,144100.0,136374.91439830442,-7725.08560169558
27,1997-01-01,7.79,1433,65.5,91.48,4.0,1421,126.1,812,1456,145000.0,149367.62882761582,4367.628827615816
28,1997-04-01,7.93,1476,65.7,94.93,5.0,1412,125.97,817,1384,145800.0,150440.45325467107,4640.453254671069
29,1997-07-01,7.47,1458,65.8,91.63,4.0,1461,126.77,839,1362,145000.0,141217.45813793747,-3782.541862062528
30,1997-10-01,7.21,1532,65.8,86.01,4.0,1475,127.0,865,1415,144200.0,162225.41624734347,18025.41624734347
31,1998-01-01,7.05,1559,66.0,84.85,4.0,1602,126.43,896,1411,152200.0,165500.55879225035,13300.558792250347
32,1998-04-01,7.1,1572,66.1,81.91,4.0,1551,125.27,915,1477,149500.0,172369.1894238745,22869.189423874486
33,1998-07-01,6.87,1631,66.6,79.37,4.0,1614,122.43,944,1508,153000.0,171859.5628649557,18859.56286495569
34,1998-10-01,6.76,1722,66.5,76.01,4.0,1711,115.9,984,1496,153000.0,174566.096108613,21566.096108613012
35,1999-01-01,6.88,1709,66.7,82.54,4.0,1706,113.53,985,1577,157400.0,177369.05778837856,19969.05778837856
36,1999-04-01,7.18,1574,66.7,87.53,4.0,1647,113.23,987,1617,158700.0,172476.8278273426,13776.827827342611
37,1999-07-01,7.79,1651,66.8,91.38,4.0,1635,113.77,985,1601,159100.0,175743.17379667383,16643.17379667383
38,1999-10-01,7.84,1655,66.9,84.06,4.0,1668,115.63,983,1616,165300.0,159517.55081218417,-5782.44918781583
39,2000-01-01,8.26,1659,67.1,85.59,4.0,1690,118.3,992,1652,165300.0,157800.5101268945,-7499.4898731054855
40,2000-04-01,8.32,1587,67.3,80.8,5.0,1571,118.33,985,1607,163200.0,151099.31151032564,-12100.688489674358
41,2000-07-01,8.02,1504,67.5,75.23,4.0,1555,116.47,975,1532,168800.0,148077.46947680973,-20722.530523190275
42,2000-10-01,7.62,1544,67.5,73.21,4.0,1578,113.3,970,1524,172900.0,164693.1931798514,-8206.806820148602
43,2001-01-01,7.01,1605,67.6,71.98,4.0,1671,111.1,991,1487,169800.0,167177.34675317985,-2622.6532468201476
44,2001-04-01,7.13,1630,67.8,79.02,4.0,1652,109.93,1012,1575,179000.0,178260.73664869997,-739.2633513000328
45,2001-07-01,6.96,1600,67.9,77.09,4.0,1593,109.83,1014,1583,172500.0,175018.44371569902,2518.443715699017
46,2001-10-01,6.77,1570,67.9,71.92,4.0,1632,107.83,1005,1616,171100.0,179929.30140603118,8829.301406031183
47,2002-01-01,6.97,1723,67.9,76.2,4.0,1714,107.93,1005,1621,188700.0,181931.02571831335,-6768.974281686649
48,2002-04-01,6.81,1691,67.8,76.9,4.0,1714,112.8,1018,1640,187200.0,167510.6683107867,-19689.331689213286
49,2002-07-01,6.29,1697,67.9,75.21,4.0,1745,117.17,1022,1659,178100.0,176434.78385743446,-1665.2161425655358
50,2002-10-01,6.08,1730,68.2,72.83,4.0,1822,118.33,1030,1663,190100.0,186367.37120283575,-3732.628797164245
51,2003-01-01,5.84,1736,68.1,73.08,4.0,1806,119.8,1046,1660,186000.0,188769.1742175363,2769.174217536289
52,2003-04-01,5.51,1754,68.2,72.25,4.0,1838,119.9,1051,1679,191800.0,196735.94639961235,4935.946399612352
53,2003-07-01,6.03,1890,68.3,77.37,4.0,1937,120.73,1100,1656,191900.0,201450.39484051213,9550.394840512134
54,2003-10-01,5.92,2036,68.5,78.5,4.0,1972,125.53,1159,1712,198800.0,193747.05662127456,-5052.943378725438
55,2004-01-01,5.6,1918,68.7,84.91,4.0,1995,142.63,1202,1740,212700.0,196844.5279812809,-15855.472018719098
56,2004-04-01,6.11,1937,69.4,96.81,4.0,2080,154.97,1228,1896,217600.0,223293.87571531843,5693.875715318427
57,2004-07-01,5.89,1977,68.9,99.85,4.0,2070,171.4,1244,1863,213500.0,215001.36659930745,1501.3665993074537
58,2004-10-01,5.74,1965,69.1,88.35,4.0,2086,180.63,1271,1839,228800.0,226731.7512375761,-2068.2487624239
59,2005-01-01,5.77,2072,69.2,92.49,4.0,2105,179.13,1312,1862,232500.0,238863.8069836951,6363.806983695104
60,2005-04-01,5.71,2051,68.7,91.71,4.0,2138,169.87,1325,1998,233700.0,237930.45269413834,4230.452694138337
61,2005-07-01,5.76,2100,68.7,88.52,4.0,2228,163.67,1357,1920,236400.0,237778.42439893135,1378.4243989313545
62,2005-10-01,6.23,2069,68.9,86.29,5.0,2169,171.9,1392,1937,243600.0,240918.6067507071,-2681.393249292887
63,2006-01-01,6.25,2120,68.6,91.01,6.0,2157,176.67,1423,2110,247700.0,237138.39251711874,-10561.607482881256
64,2006-04-01,6.6,1855,68.8,89.0,6.0,1923,184.47,1398,2006,246300.0,230175.307193502,-16124.692806498002
65,2006-07-01,6.56,1702,68.9,80.58,7.0,1713,193.8,1340,1941,235600.0,242295.69750058424,6695.69750058424
66,2006-10-01,6.24,1570,68.8,73.3,7.0,1581,191.17,1265,1900,245400.0,239624.3117074847,-5775.6882925152895
67,2007-01-01,6.21,1461,68.5,76.46,8.0,1607,197.13,1205,1695,257400.0,239551.37893875953,-17848.62106124047
68,2007-04-01,6.36,1451,68.3,76.56,8.0,1457,206.77,1169,1519,242200.0,237846.86899604087,-4353.1310039591335
69,2007-07-01,6.55,1289,68.0,76.67,9.0,1314,201.53,1125,1467,241800.0,237205.17999498922,-4594.820005010784
70,2007-10-01,6.22,1166,67.8,70.98,9.0,1188,198.8,1078,1374,238400.0,230604.71576019062,-7795.284239809378
71,2008-01-01,5.87,1064,67.9,67.16,10.0,1025,216.4,1027,1267,233900.0,237871.9766704825,3971.976670482487
72,2008-04-01,6.09,1011,68.1,71.23,11.0,1061,268.43,992,1102,235300.0,242222.38471290068,6922.384712900675
73,2008-07-01,6.32,862,67.7,71.67,11.0,859,287.17,932,1088,226500.0,248135.41118845658,21635.41118845658
74,2008-10-01,5.84,663,67.5,65.49,11.0,639,213.67,841,1051,222500.0,248988.5338315599,26488.533831559907
75,2009-01-01,5.06,526,67.4,60.9,11.0,539,185.6,752,812,208400.0,232471.94640692946,24071.946406929463
76,2009-04-01,5.01,534,67.4,59.59,10.0,559,169.73,651,820,220900.0,236633.92006138287,15733.920061382873
77,2009-07-01,5.16,588,67.4,64.11,8.0,607,186.3,592,770,214300.0,217156.03366095357,2856.0336609535734
78,2009-10-01,4.92,568,67.2,64.77,8.0,623,194.37,534,780,219000.0,217410.55154896362,-1589.4484510363836
79,2010-01-01,5.0,618,67.2,70.78,8.0,658,212.33,495,665,222900.0,213457.05374919774,-9442.946250802255
80,2010-04-01,4.92,602,66.9,76.17,8.0,600,233.67,470,778,219500.0,209132.3231631069,-10367.676836893108
81,2010-07-01,4.45,580,66.7,68.34,8.0,574,223.6,442,599,224100.0,209903.01486473175,-14196.985135268245
82,2010-10-01,4.44,542,66.5,68.31,8.0,583,224.53,431,574,224300.0,217139.3834707434,-7160.6165292566
83,2011-01-01,4.85,582,66.5,72.3,8.0,567,247.27,425,575,226900.0,219353.1798668276,-7546.820133172412
84,2011-04-01,4.65,574,66.0,70.63,7.0,612,256.83,416,559,228100.0,214652.87749708298,-13447.122502917016
85,2011-07-01,4.29,619,66.1,70.44,6.0,626,256.77,416,617,223500.0,228056.57481697807,4556.574816978071
86,2011-10-01,4.0,672,65.9,69.6,6.0,691,252.07,430,587,221100.0,235410.04673609402,14310.046736094024
87,2012-01-01,3.92,707,65.6,71.44,5.0,752,254.57,450,563,238400.0,239926.1511622879,1526.1511622878897
88,2012-04-01,3.79,739,65.6,76.46,5.0,774,247.27,474,641,238700.0,251857.6367610217,13157.636761021713
89,2012-07-01,3.55,780,65.4,76.62,5.0,873,233.0,499,671,248800.0,252309.94895842025,3509.948958420253
90,2012-10-01,3.36,908,65.3,78.17,5.0,915,228.0,535,692,251700.0,254444.40166733554,2744.4016673355363
91,2013-01-01,3.5,953,65.2,91.27,4.0,952,227.6,579,753,258400.0,254517.80178996138,-3882.198210038623
92,2013-04-01,3.67,868,65.1,90.76,4.0,986,224.53,618,719,268100.0,262690.1631982606,-5409.83680173941
93,2013-07-01,4.44,882,65.2,83.47,5.0,988,224.8,652,775,264800.0,274438.5871823785,9638.587182378513
94,2013-10-01,4.29,1009,65.1,86.85,5.0,1026,228.77,688,806,273600.0,258863.41316714135,-14736.586832858651
95,2014-01-01,4.36,934,64.9,91.55,5.0,1027,234.73,718,869,275200.0,260593.47909669857,-14606.520903301425
96,2014-04-01,4.23,987,64.8,90.3,6.0,1039,233.57,756,842,288000.0,271311.0882783129,-16688.911721687124
97,2014-07-01,4.14,1031,64.3,91.51,6.0,1067,233.2,793,907,281000.0,272326.4816752534,-8673.518324746576
98,2014-10-01,3.96,1049,63.9,89.08,5.0,1075,226.93,815,913,298900.0,277976.99179186637,-20923.00820813363
99,2015-01-01,3.72,977,63.8,87.91,5.0,1083,212.27,834,866,289200.0,290089.80102650344,889.8010265034391
100,2015-04-01,3.82,1158,63.5,84.7,5.0,1272,199.83,881,992,289100.0,300892.9049055448,11792.904905544827
101,2015-07-01,3.95,1167,63.6,84.26,5.0,1150,193.9,923,1001,295800.0,289745.12235502107,-6054.877644978929
102,2015-10-01,3.9,1125,63.7,82.9,5.0,1205,176.3,958,1003,302500.0,293292.76844473695,-9207.231555263046
103,2016-01-01,3.74,1143,63.5,83.57,6.0,1154,173.73,979,1032,299800.0,299045.6491947692,-754.350805230788
104,2016-04-01,3.59,1171,63.1,88.36,5.0,1187,190.2,1008,1018,306000.0,297547.2312321089,-8452.768767891102
105,2016-07-01,3.45,1159,63.4,90.04,5.0,1225,193.27,1036,1054,303800.0,317121.8075908196,13321.807590819604
106,2016-10-01,3.84,1235,63.5,88.5,5.0,1255,190.7,1051,1138,310900.0,325176.5610916867,14276.561091686715
107,2017-01-01,4.17,1221,63.6,93.02,5.0,1275,208.47,1069,1129,313100.0,312484.51505625807,-615.4849437419325
108,2017-04-01,3.98,1184,63.9,99.06,5.0,1265,213.2,1072,1158,318200.0,316628.1657976717,-1571.8342023282894
109,2017-07-01,3.88,1179,63.9,99.85,6.0,1278,215.23,1084,1127,320500.0,322683.71776838077,2183.7177683807677
110,2017-10-01,3.92,1236,64.0,102.54,5.0,1319,211.07,1102,1191,337900.0,322520.0273988041,-15379.972601195914
111,2018-01-01,4.28,1308,64.2,108.26,5.0,1364,222.4,1113,1228,331800.0,324419.69317921426,-7380.306820785743
112,2018-04-01,4.54,1279,64.5,115.97,6.0,1347,238.53,1126,1231,315600.0,316861.85054489836,1261.8505448983633
113,2018-07-01,4.57,1240,64.4,109.37,7.0,1294,244.6,1130,1196,330900.0,314347.51546379505,-16552.484536204953
114,2018-10-01,4.78,1162,64.6,92.89,7.0,1310,245.53,1145,1103,322800.0,314268.1735490092,-8531.826450990804
115,2019-01-01,4.37,1196,64.2,94.7,6.0,1305,238.23,1140,1300,313000.0,322022.2868761006,9022.286876100581
116,2019-04-01,4.01,1274,64.3,93.3,6.0,1317,228.77,1132,1239,322500.0,324983.72640397405,2483.726403974055
117,2019-07-01,3.66,1293,64.7,95.45,6.0,1429,215.67,1151,1217,318400.0,322961.7992060137,4561.799206013675
118,2019-10-01,3.7,1405,65.0,96.33,5.0,1490,206.27,1168,1280,327100.0,327440.3474878996,340.3474878995912
119,2020-01-01,3.52,1485,65.3,101.6,6.0,1470,210.6,1209,1283,329000.0,323166.61493950256,-5833.385060497443
120,2020-04-01,3.24,1086,68.1,100.0,5.0,1212,203.9,1187,1204,322600.0,323135.78853498894,535.7885349889402
121,2020-07-01,2.95,1440,67.3,145.0,4.0,1551,202.17,1210,1327,337500.0,349747.8119405145,12247.811940514483
122,2020-10-01,2.76,1575,65.7,147.59,4.0,1683,216.4,1246,1329,358700.0,338875.7584507795,-19824.24154922052
123,2021-01-01,2.88,1599,65.6,183.76,4.0,1788,266.97,1293,1391,347500.0,349304.1813173238,1804.1813173238188
