Date,1 Mo,2 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1/4/21,0.09,0.09,0.09,0.09,0.1,0.11,0.16,0.36,0.64,0.93,1.46,1.66
1/5/21,0.08,0.09,0.09,0.09,0.1,0.13,0.17,0.38,0.66,0.96,1.49,1.7
1/6/21,0.09,0.09,0.09,0.09,0.11,0.14,0.2,0.43,0.74,1.04,1.6,1.81
1/7/21,0.09,0.09,0.09,0.09,0.11,0.14,0.22,0.46,0.78,1.08,1.64,1.85
1/8/21,0.08,0.08,0.08,0.09,0.1,0.14,0.24,0.49,0.81,1.13,1.67,1.87
1/11/21,0.09,0.08,0.08,0.1,0.1,0.14,0.22,0.5,0.84,1.15,1.68,1.88
1/12/21,0.09,0.08,0.09,0.09,0.11,0.14,0.23,0.5,0.83,1.15,1.68,1.88
1/13/21,0.09,0.08,0.09,0.1,0.12,0.14,0.22,0.48,0.8,1.1,1.63,1.82
1/14/21,0.09,0.09,0.09,0.09,0.1,0.16,0.23,0.49,0.82,1.15,1.69,1.88
1/15/21,0.08,0.09,0.09,0.1,0.1,0.13,0.2,0.46,0.78,1.11,1.66,1.85
1/19/21,0.07,0.09,0.09,0.11,0.1,0.14,0.21,0.45,0.78,1.1,1.65,1.84
1/20/21,0.08,0.08,0.08,0.1,0.1,0.13,0.19,0.45,0.78,1.1,1.65,1.84
1/21/21,0.07,0.09,0.09,0.09,0.1,0.13,0.19,0.45,0.79,1.12,1.68,1.87
1/22/21,0.07,0.08,0.08,0.1,0.1,0.13,0.19,0.44,0.77,1.1,1.66,1.85
1/25/21,0.07,0.08,0.09,0.09,0.1,0.13,0.17,0.42,0.73,1.05,1.61,1.8
1/26/21,0.05,0.07,0.07,0.09,0.09,0.11,0.18,0.42,0.74,1.05,1.61,1.8
1/27/21,0.05,0.06,0.08,0.09,0.09,0.12,0.18,0.41,0.72,1.04,1.6,1.79
1/28/21,0.05,0.06,0.07,0.08,0.08,0.12,0.18,0.42,0.75,1.07,1.63,1.81
1/29/21,0.07,0.07,0.06,0.07,0.1,0.11,0.19,0.45,0.79,1.11,1.68,1.87
2/1/21,0.06,0.07,0.07,0.08,0.08,0.11,0.17,0.42,0.76,1.09,1.66,1.84
2/2/21,0.04,0.05,0.07,0.08,0.08,0.11,0.18,0.45,0.79,1.12,1.69,1.87
2/3/21,0.03,0.04,0.04,0.06,0.08,0.11,0.19,0.46,0.81,1.15,1.73,1.92
